channelId,channelTitle,title,publishedAt,videoId,date
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/25 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-25T06:57:09Z,VR88HJLFTKU,2020-01-25
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/17 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-17T06:49:07Z,nh5mXHswe9Y,2020-04-17
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/10 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-10T06:30:48Z,GpSno0LWR2o,2020-05-10
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/8 10:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-08T02:35:00Z,DIRLYs44g9k,2020-02-08
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/14 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-14T06:42:36Z,5_6nqvwtAN8,2021-01-14
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/11/30 15:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-11-30T08:25:56Z,1w3HTGF9kDQ,2020-11-30
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/6/7 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-06-07T06:58:22Z,EqANuY3nIxM,2020-06-07
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/5 19:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-05T13:04:34Z,6sZ4jcZ36sg,2020-03-05
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/29 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-29T07:23:25Z,5jpZN0Q9lGg,2020-01-29
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/9 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-09T07:20:36Z,-AF0B1NOJ7o,2021-02-09
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/28 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-28T07:04:02Z,d1zt7WNvPW0,2020-02-28
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/9 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-09T07:18:19Z,u0uCyj4Glsg,2020-05-09
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/26 13:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-26T06:35:11Z,kR9xwVC36m0,2020-02-26
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/3 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-03T07:34:31Z,oNHK-36O8Xc,2020-04-03
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/5 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-05T06:53:42Z,JgYWOu6OcDI,2020-05-05
